is_cluster,pocket_name,pocket_alias,ward_id,ward_councillor,avg_hhsize,area_ha,density_dwellings,structure_count,age_of_is,upgrade_category,temp_sanitation,toilets_full_flush,toilets_chemical,toilets_portable,toilets_container,toilets_other,toilets_total,ratio_toilets_dwellings,pocket_code,centroidx,centroidy
Site C Infills,Mlambo Street,Mxolisi Phatheni 18123,0.7474929166536921,Mlulami Velem,0.21091889201261788,-0.12665699837884442,0.31154201819886546,-0.31184209733754786,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.2537951980048646,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2708772274602097,1:8,KHAMLA001,0.35705598642000724,-0.26919479230051807
Site C Infills,Nyebelele 1,Mxolisi Phatheni 51738,0.7474929166536921,Mlulami Velem,0.21091889201261788,-0.13081721597493218,0.1640796847699978,-0.35493605004919704,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.242405774373998,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.26769423301829354,1:3,KHANYE001,0.39715580724747335,-0.23236104061979554
Site C Infills,Nyebelele 2,Nyebelele 5563,0.7474929166536921,Mlulami Velem,0.21091889201261788,-0.12793239355428737,0.005179910392800698,-0.33979493152888784,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.26518462163573125,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.27406022190212587,1:6,KHANYE002,0.396948426885871,-0.2382697672786638
Site C Infills,Primrose Street,Crossroads 13/14/16,-1.4791481738375738,Ntomboxolo Kopman,0.6781442857114562,-0.13345910598120692,-0.5213007758837311,-0.3863829885144545,10 - 15 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,KHAPRI001,0.33261338289258147,-0.20903871167439544
Site C Infills,Siyakha,Mxolisi Phatheni 53980,-1.4791481738375738,Ntomboxolo Kopman,0.6781442857114562,-0.1308779490785247,0.03565053706176151,-0.3595948557477537,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.17406923258879817,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2485962663667967,1:2,KHASIY001,0.3904065191157166,-0.26329614879291935
Sixth Avenue - Kensington,Sixth Avenue - Kensington,Texas Rangers,-0.25288206603078967,Lisa McBride,1.0519246006705265,-0.11533027455883901,-0.22100905415865146,-0.28272456172156873,> 20 years,Many constraints.  May need to be relocated,0.956066793347101,-0.13990096169619826,-0.11414278869831841,0.04532100408255655,-0.1602767401999007,-0.10128451368804998,-0.07353157206140852,1:1,EBESIX001,-0.9251296573913097,0.7296825075897465
Siyahlala - Du Noon,Siyahlala - Du Noon,Crossroads 13/14/16,1.2960856490935693,Lubabalo Makeleni,-1.4337144938072939,0.022746436458760157,0.31317479996219544,1.0636702851613076,5 - 10 years,Many constraints.  May need to be relocated,0.9443719577211395,-0.1854586562196648,0.5809834969114162,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.1244594831320669,1:23,NORSIY001,-0.6170567038691432,1.6601859585484862
Small SBDC,Small SBDC,Crossroads 13/14/16,-0.9628256021294542,Fikiswa Nkunzana,-0.8356659898727802,-0.12708213010399205,0.5163425613952128,-0.3036891873650737,15 - 20 years,Many constraints.  May need to be relocated,-0.7162946993614596,-0.1854586562196648,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2517792608087128,1:5,MITSMA001,-0.1435225009382529,-0.16781878918037804
Smallville TRA,Smallville TRA,Crossroads 13/14/16,0.5216017915313899,Thembinkosi Pupa,-0.798287958376873,-0.10713130557384852,-0.7065156699888167,-0.33397142440569205,15 - 20 years,Provincial or National government land.  Some constraints,1.5671219541356771,-0.35630001068266437,0.1720856818468664,0.05994140728262806,-0.1602767401999007,-0.10128451368804998,-0.07989756094524082,1:1,HILSMA001,-0.6353533075894219,-0.6262694291111944
Somerset West Station,Garden Village,Crossroads 13/14/16,-1.5759586560328462,Benedicta van Minnen,-1.0599341788482228,-0.1284486249348238,-0.8176269417003628,-0.38405358566517617,10 - 15 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.2993528925283312,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2836092052278743,1:2,HELGAR003,2.25093828588159,-0.9846649587415514
