"is_cluster","pocket_name","pocket_alias","ward_id","ward_councillor","avg_hhsize","area_ha","density_dwellings","structure_count","age_of_is","upgrade_category","temp_sanitation","toilets_full_flush","toilets_chemical","toilets_portable","toilets_container","toilets_other","toilets_total","ratio_toilets_dwellings","pocket_code","centroidx","centroidy"
"Strandfontein","Masincedane Camp","Camp Road","19100043","Elton-Enrique Jansen","4.110000000","1.315000000","55.513307985","73","10 - 15 years","City land. Can be upgraded","100.000000000","0E-9","0E-9","0E-9","0E-9","31.000000000","31.000000000","1:2","HILMAS001","18.574837000","-34.074651000"
"Strandfontein","Oppermans Oord","None","19100043","Elton-Enrique Jansen","4.110000000","1.203000000","16.625103907","20","> 20 years","City land. Can be upgraded","33.333333333","8.000000000","0E-9","0E-9","0E-9","4.000000000","12.000000000","1:2","HILOPP001","18.568649000","-34.076868000"
"Sweet Home","Sweet Home","Fananze","19100080","Thembinkosi Pupa","2.910000000","22.732000000","164.657751188","3743","15 - 20 years","City land. Can be upgraded","43.063063063","316.000000000","178.000000000","0E-9","61.000000000","0E-9","555.000000000","1:7","MITSWE001","18.562539000","-34.007391000"
"Sweet Lips","Sweet Lips","Florida Road","19100025","Beverley van Reenen","4.160000000","0.327000000","116.207951070","38","5 - 10 years","Provincial or National government land.  Some constraints","0E-9","21.000000000","0E-9","0E-9","0E-9","0E-9","21.000000000","1:2","TYGSWE001","18.598245000","-33.927772000"
"Symphony Way TRA","Symphony Way TRA","Blikkiesdorp","19100106","Khayalethu Makeleni","3.480000000","15.909000000","98.560563203","1568","0 - 5 years","Provincial or National government land.  Some constraints","0E-9","447.000000000","0E-9","0E-9","0E-9","0E-9","447.000000000","1:4","TYGBLI001","18.630973000","-33.979675000"
"T Section","T Section","Victoria Mxenge7410/ TT Section/ UT Section 1","19100091","Monde Mabandla","3.410000000","4.723000000","193.309337286","913","> 20 years","Provincial or National government land.  Some constraints","0E-9","204.000000000","0E-9","0E-9","0E-9","0E-9","204.000000000","1:4","KHATSE001","18.656415000","-34.022819000"
"Thabo Mbeki","Thabo Mbeki East","None","19100035","Mzuzile Mpondwana","3.400000000","5.533000000","123.621904934","684","15 - 20 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","0E-9","0E-9","25.000000000","0E-9","25.000000000","1:27","MITTHA001","18.625302000","-34.000044000"
"Thabo Mbeki","Thabo Mbeki West","None","19100035","Mzuzile Mpondwana","3.400000000","4.767000000","152.716593245","728","> 20 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","75.000000000","0E-9","75.000000000","1:10","MITTHA002","18.622839000","-33.998878000"
"Thambo Square","Thambo Square","None","19100041","Maneli Msindwana","4.140000000","2.387000000","73.313782991","175","15 - 20 years","City land. Can be upgraded","100.000000000","0E-9","0E-9","0E-9","124.000000000","0E-9","124.000000000","1:1","HILTHA001","18.572376000","-33.988231000"
"TR Section","TR Section","Bongani TR Section/ Nonqubela TR Section","19100090","Luvuyo Hebe","3.060000000","18.325000000","181.064120055","3318","15 - 20 years","City land. Can be upgraded","98.059964727","22.000000000","38.000000000","854.000000000","220.000000000","0E-9","1134.000000000","1:3","KHABON001","18.651855000","-34.025194000"
"Tsepe Tsepe","Tsepe Tsepe","None","19100092","Nomvuyo Mofoko","3.700000000","1.551000000","242.424242424","376","10 - 15 years","City land. Can be upgraded","0E-9","25.000000000","0E-9","0E-9","0E-9","0E-9","25.000000000","1:15","KHATSE002","18.664734000","-34.032001000"
"Tsunami TRA","Tsunami TRA","None","19100106","Khayalethu Makeleni","3.480000000","9.999000000","207.720772077","2077","15 - 20 years","City land. Can be upgraded","45.454545455","300.000000000","250.000000000","0E-9","0E-9","0E-9","550.000000000","1:4","TYGTSU001","18.632653000","-33.985382000"
"Uitkyk","Pine Town","None","19100100","Johannes (Johan) Middleton","3.360000000","1.454000000","21.320495186","31","15 - 20 years","Provincial or National government land.  Some constraints","90.243902439","4.000000000","0E-9","37.000000000","0E-9","0E-9","41.000000000","1:1","HILUIT002","18.909019000","-34.115399000"
"Uitkyk","Uitkyk","None","19100100","Johannes (Johan) Middleton","3.360000000","2.222000000","13.951395140","31","5 - 10 years","Provincial or National government land.  Some constraints","83.050847458","10.000000000","7.000000000","42.000000000","0E-9","0E-9","59.000000000","1:1","HILUIT001","18.909690000","-34.117143000"
"UT Section 7410","UT Section 7410","Victoria Mxenge 7410","19100091","Luvuyo Hebe","3.060000000","3.137000000","210.392094358","660","> 20 years","Provincial or National government land.  Some constraints","0E-9","117.000000000","0E-9","0E-9","0E-9","0E-9","117.000000000","1:6","KHAUTS001","18.656012000","-34.025366000"
"UT Section 7410","YB Section","Victoria Mxenge 7410","19100091","Monde Mabandla","3.410000000","0.317000000","151.419558360","48","> 20 years","Provincial or National government land.  Some constraints","0E-9","16.000000000","0E-9","0E-9","0E-9","0E-9","16.000000000","1:3","KHAYBS001","18.656983000","-34.024449000"
"Valhalla Park","Agste Laan - Valhalla Park","Valhalla Park","19100031","Nas Abrahams","5.110000000","4.826000000","110.857853295","535","5 - 10 years","City land. Can be upgraded","100.000000000","0E-9","151.000000000","364.000000000","0E-9","0E-9","515.000000000","1:1","TYGAGS001","18.577407000","-33.956119000"
"Valhalla Park","Sewende Laan - Valhalla Park","None","19100031","Nas Abrahams","5.110000000","0.952000000","121.848739496","116","10 - 15 years","Provincial or National government land.  Some constraints","86.956521739","18.000000000","0E-9","120.000000000","0E-9","0E-9","138.000000000","1:1","TYGSEV001","18.573240000","-33.955560000"
"VE Section","VE Section","Victoria Mxenge 6807","19100091","Monde Mabandla","3.410000000","2.499000000","247.699079632","619","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"KHAVES001","18.659243000","-34.021689000"
"Victoria Mxenge 7410","Bida Crescent","Victoria Mxenge 7410/ YBA Section 7410","19100090","Luvuyo Hebe","3.060000000","0.929000000","175.457481163","163","> 20 years","Provincial or National government land.  Some constraints","0E-9","48.000000000","0E-9","0E-9","0E-9","0E-9","48.000000000","1:3","KHABID001","18.657738000","-34.027755000"
